"CL0110-0308-1-73","HR10A-7R-6P(73)","1","1","1","1","0","1","1","1"
"CL0110-0314-4-73","HR10A-7R-4SB(73)","1","1","1","1","0","1","1","1"
"CL0110-0314-4-74","HR10A-7R-4SB(74)","1","1","1","1","0","1","1","1"
"CL0110-0315-7-73","HR10A-7R-4PB(73)","1","1","1","1","0","1","1","1"
"CL0110-0316-0-73","HR10A-7R-6SB(73)","1","1","1","1","0","1","1","1"
"CL0110-0316-0-74","HR10A-7R-6SB(74)","1","1","1","1","0","1","1","1"
"CL0110-0317-2-73","HR10A-7R-6PB(73)","1","1","1","1","0","1","1","1"
"CL0110-0317-2-74","HR10A-7R-6PB(74)","1","1","1","1","0","1","1","1"
"CL0110-0320-7-73","HR10A-7R-5S(73)","1","1","1","1","0","1","1","1"
"CL0110-0322-2-73","HR10A-7R-5SB(73)","1","1","1","1","0","1","1","1"
