"CL0110-0308-1-73","HR10A-7R-6P(73)","1","1","1","1","0","1","1","1"
"CL0110-0314-4-73","HR10A-7R-4SB(73)","1","1","1","1","0","1","1","1"
"CL0110-0314-4-74","HR10A-7R-4SB(74)","1","1","1","1","0","1","1","1"
"CL0110-0315-7-73","HR10A-7R-4PB(73)","1","1","1","1","0","1","1","1"
"CL0110-0316-0-73","HR10A-7R-6SB(73)","1","1","1","1","0","1","1","1"
"CL0110-0316-0-74","HR10A-7R-6SB(74)","1","1","1","1","0","1","1","1"
"CL0110-0317-2-73","HR10A-7R-6PB(73)","1","1","1","1","0","1","1","1"
"CL0110-0317-2-74","HR10A-7R-6PB(74)","1","1","1","1","0","1","1","1"
"CL0110-0320-7-73","HR10A-7R-5S(73)","1","1","1","1","0","1","1","1"
"CL0110-0322-2-73","HR10A-7R-5SB(73)","1","1","1","1","0","1","1","1"
"CL0110-0401-7-76","HR10A-10P-12P(76)","1","1","1","1","0","1","1","1"
"CL0110-0401-7-78","HR10A-10P-12P(78)","1","1","1","1","0","1","1","1"
"CL0110-0401-7-82","HR10A-10P-12P(82)","1","1","1","1","0","1","1","1"
"CL0110-0402-0-78","HR10A-10P-12S(78)","1","1","1","1","0","1","1","1"
"CL0110-0402-0-82","HR10A-10P-12S(82)","1","1","1","1","0","1","1","1"
"CL0110-0403-2-71","HR10A-10R-12S(71)","1","1","1","1","0","1","1","1"
"CL0110-0403-2-72","HR10A-10R-12S(72)","1","1","1","1","0","1","1","1"
"CL0110-0404-5-73","HR10A-10R-12P(73)","1","1","1","1","0","1","1","1"
"CL0110-0404-5-74","HR10A-10R-12P(74)","1","1","1","1","0","1","1","1"
"CL0110-0409-9-71","HR10A-10R-10S(71)","1","1","1","1","0","1","1","1"
"CL0110-0409-9-72","HR10A-10R-10S(72)","1","1","1","1","0","1","1","1"
"CL0110-0410-8-73","HR10A-10R-10P(73)","1","1","1","1","0","1","1","1"
"CL0110-0410-8-74","HR10A-10R-10P(74)","1","1","1","1","0","1","1","1"
"CL0110-0413-6-71","HR10A-10R-10SB(71)","1","1","1","1","0","1","1","1"
"CL0110-0413-6-72","HR10A-10R-10SB(72)","1","1","1","1","0","1","1","1"
"CL0110-0414-9-71","HR10A-10R-10PB(71)","1","1","1","1","0","1","1","1"
"CL0110-0414-9-72","HR10A-10R-10PB(72)","1","1","1","1","0","1","1","1"
"CL0110-0415-1-71","HR10A-10R-12SB(71)","1","1","1","1","0","1","1","1"
"CL0110-0415-1-72","HR10A-10R-12SB(72)","1","1","1","1","0","1","1","1"
"CL0110-0416-4-71","HR10A-10R-12PB(71)","1","1","1","1","0","1","1","1"
"CL0110-0416-4-72","HR10A-10R-12PB(72)","1","1","1","1","0","1","1","1"
"CL0110-0433-3-73","HR10A-10TR-12SB(73)","1","1","1","1","0","1","1","1"
"CL0110-0433-3-74","HR10A-10TR-12SB(74)","1","1","1","1","0","1","1","1"
"CL0110-0453-0-73","HR10A-10TR-12S(73)","1","1","1","1","0","1","1","1"
"CL0110-0456-9-73","HR10A-10TR-12SC(73)","1","1","1","1","0","1","1","1"
"CL0110-0457-1-73","HR10A-10TR-12PB(73)","1","1","1","1","0","1","1","1"
"CL0110-0491-0-00","HR10A-10TR-20SD","1","1","1","1","0","1","1","1"
"CL0110-0505-2-73","HR10A-7R-4PC(73)","1","1","1","1","0","1","1","1"
"CL0110-0506-5-73","HR10A-7R-4SC(73)","1","1","1","1","0","1","1","1"
"CL0110-0507-8-73","HR10A-7R-6PC(73)","1","1","1","1","0","1","1","1"
"CL0110-0508-0-73","HR10A-7R-6SC(73)","1","1","1","1","0","1","1","1"
"CL0110-0513-0-00","HR10-PC-112","1","1","1","1","1","1","1","1"
"CL0110-0514-3-00","HR10-PC-212","1","1","1","1","1","1","1","1"
"CL0110-0515-6-00","HR10-PC-111","1","1","1","1","1","1","1","1"
"CL0110-0516-9-00","HR10-PC-211","1","1","1","1","1","1","1","1"
"CL0110-0519-7-71","HR10-PC-113(71)","1","1","1","1","1","1","1","1"
"CL0110-0605-7-71","HR10A-10R-10PC(71)","1","1","1","1","0","1","1","1"
"CL0110-0606-0-71","HR10A-10R-10SC(71)","1","1","1","1","0","1","1","1"
"CL0110-0607-2-71","HR10A-10R-12PC(71)","1","1","1","1","0","1","1","1"
"CL0110-0608-5-71","HR10A-10R-12SC(71)","1","1","1","1","0","1","1","1"
"CL0110-1606-5-73","HR10G-7R-6P(73)","1","1","1","1","0","1","1","1"
"CL0110-1607-8-71","HR10G-10R-10S(71)","1","1","1","1","0","1","1","1"
"CL0110-1607-8-72","HR10G-10R-10S(72)","1","1","1","1","0","1","1","1"
"CL0110-1608-0-73","HR10G-10R-10P(73)","1","1","1","1","0","1","1","1"
"CL0110-1609-3-71","HR10G-10R-12S(71)","1","1","1","1","0","1","1","1"
"CL0110-1609-3-72","HR10G-10R-12S(72)","1","1","1","1","0","1","1","1"
"CL0110-1610-2-73","HR10G-10R-12P(73)","1","1","1","1","0","1","1","1"
"CL0110-1610-2-74","HR10G-10R-12P(74)","1","1","1","1","0","1","1","1"
"CL0110-1707-2-71","HR10G-10R-10SC(71)","1","1","1","1","0","1","1","1"
"CL0110-1708-5-71","HR10G-10R-10PC(71)","1","1","1","1","0","1","1","1"
"CL0110-1709-8-71","HR10G-10R-12SC(71)","1","1","1","1","0","1","1","1"
"CL0110-1710-7-71","HR10G-10R-12PC(71)","1","1","1","1","0","1","1","1"
"CL0110-1802-3-73","HR10G-7R-4PB(73)","1","1","1","1","0","1","1","1"
"CL0110-1807-7-71","HR10G-10R-10SB(71)","1","1","1","1","0","1","1","1"
"CL0110-1808-0-71","HR10G-10R-10PB(71)","1","1","1","1","0","1","1","1"
"CL0110-1809-2-71","HR10G-10R-12SB(71)","1","1","1","1","0","1","1","1"
"CL0110-1809-2-72","HR10G-10R-12SB(72)","1","1","1","1","0","1","1","1"
"CL0110-1810-1-71","HR10G-10R-12PB(71)","1","1","1","1","0","1","1","1"
"CL0110-2006-3-00","KR01-10R-12S","1","1","1","1","0","1","1","1"
"CL0112-0407-6-00","HR12-SC-211","1","1","1","1","1","1","1","1"
"CL0112-0408-9-00","HR12-SC-212","1","1","1","1","1","1","1","1"
"CL0112-0409-1-00","HR12-SC-213","1","1","1","1","1","1","1","1"
"CL0112-0410-0-00","HR12-SC-111","1","1","1","1","1","1","1","1"
"CL0112-0411-3-00","HR12-SC-112","1","1","1","1","1","1","1","1"
"CL0211-0309-9-10","HDE-CTH(4-40)(10)","0","1","1","1","1","1","1","1"
"CL0112-0502-7-71","HR12-10R-5SD(71)","1","1","1","1","0","1","1","1"
"CL0112-0507-0-71","HR12-10R-SP(71)","1","1","1","1","1","1","1","1"
"CL0112-0512-0-71","HR12-10RD-10SDL(71)","1","1","1","1","0","1","1","1"
"CL0112-0514-6-71","HR12-10RC-8SDL(71)","1","1","1","1","0","1","1","1"
"CL0621-1003-4-97","A3-10PA-2SV(97)","1","1","1","1","0","1","1","1"
"CL0112-2004-0-73","HR212-10RA-8SDL(73)","1","1","1","1","0","1","1","1"
"CL0112-2004-0-74","HR212-10RA-8SDL(74)","1","1","1","1","0","1","1","1"
"CL0225-0006-0-00","DN50-50P","0","1","1","1","0","1","1","1"
"CL0113-0183-7-71","RP13A-12RA-13PC(71)","1","1","1","1","1","1","1","1"
"CL0113-0210-8-71","RP13A-12PG-20SC(71)","1","1","1","1","0","1","1","1"
"CL0113-0264-7-00","RP19-PC-222","1","1","1","1","1","1","1","1"
"CL0113-0266-2-00","RP19-SC-222","1","1","1","1","1","1","1","1"
"CL0113-0268-8-00","RP19-PC-122","1","1","1","1","1","1","1","1"
"CL0113-0270-0-00","RP19-SC-122","1","1","1","1","1","1","1","1"
"CL0113-0503-6-00","RP17-PC-112","1","1","1","1","1","1","1","1"
"CL0113-0504-9-00","RP17-PC-122","1","1","1","1","1","1","1","1"
"CL0113-0505-1-00","RP17-SC-112","1","1","1","1","1","1","1","1"
"CL0113-0506-4-00","RP17-SC-122","1","1","1","1","1","1","1","1"
"CL0113-0507-7-00","RP17-PC-212","1","1","1","1","1","1","1","1"
"CL0113-0508-0-00","RP17-PC-222","1","1","1","1","1","1","1","1"
"CL0113-0509-2-00","RP17-SC-212","1","1","1","1","1","1","1","1"
"CL0113-0510-1-00","RP17-SC-222","1","1","1","1","1","1","1","1"
"CL0113-1012-0-71","RP13A-12PK-20SC(71)","1","1","1","1","0","1","1","1"
"CL0113-5042-2-00","RP34-8R-3PDL","1","1","1","1","0","1","1","1"
"CL0113-5043-5-00","RP34-SC-212","1","1","1","1","1","1","1","1"
"CL0113-5076-4-00","RP34-SC-112","1","1","1","1","1","1","1","1"
"CL0113-5151-8-01","RP34L-SC1-212(01)","1","1","1","1","1","1","1","1"
"CL0113-5154-6-71","RP34L-5R-2PD(71)","1","1","1","1","1","1","1","1"
"CL0114-0054-0-71","JRC16RC(71)","1","1","1","1","1","1","1","1"
"CL0125-0123-5-72","HR25-9TR-20SA(72)","1","1","1","1","0","1","1","1"
"CL0125-0421-3-00","HR25-SC-111","1","1","1","1","1","1","1","1"
"CL0125-0422-6-00","HR25-SC-211","1","1","1","1","1","1","1","1"
"CL0125-0603-0-00","HR25A-7R-6S","1","1","1","1","0","1","1","1"
"CL0130-0016-0-00","HR30-PC-211","1","1","1","1","1","1","1","1"
"CL0130-0017-3-00","HR30-SC-211","1","1","1","1","1","1","1","1"
"CL0130-0022-3-00","HR30-PC-111","1","1","1","1","1","1","1","1"
"CL0130-0023-6-00","HR30-SC-111","1","1","1","1","1","1","1","1"
"CL0131-0002-2-72","HR31-5.08P-5SC(72)","1","1","1","1","0","1","1","1"
"CL0131-0003-5-76","HR31-5.08R-5PD(76)","1","1","1","1","0","1","1","1"
"CL0138-0026-5-00","EM-GK","1","1","1","1","0","1","1","1"
"CL0206-0944-1-50","MQ170-NK-7P/2-V(50)","1","1","1","1","0","1","1","1"
"CL0211-0033-0-55","JDM-CP-SS(55)","1","1","1","1","2","1","1","1"
"CL0211-0147-9-05","FDC-37P(05)","1","1","1","1","0","1","1","1"
"CL0211-0148-1-05","FDC-37S(05)","0","1","1","1","0","1","1","1"
"CL0211-0200-0-00","CD-PC-211","1","1","1","1","1","1","1","1"
"CL0211-0201-2-00","CD-PC-221","1","1","1","1","1","1","1","1"
"CL0211-0202-5-00","CD-PC-121","1","1","1","1","1","1","1","1"
"CL0211-0203-8-00","CD-SC-211","1","1","1","1","1","1","1","1"
"CL0211-0204-0-00","CD-SC-221","1","1","1","1","1","1","1","1"
"CL0211-0205-3-00","CD-SC-111","1","1","1","1","1","1","1","1"
"CL0211-0206-6-00","CD-SC-121","1","1","1","1","1","1","1","1"
"CL0211-0215-7-05","HDBB-25P(05)","1","1","1","1","0","1","1","1"
"CL0211-0216-0-05","HDBB-25S(05)","1","1","1","1","0","1","1","1"
"CL0211-0232-6-05","HDEB-9P(05)","1","1","1","1","0","1","1","1"
"CL0211-0233-9-05","HDEB-9S(05)","1","1","1","1","0","1","1","1"
"CL0211-0233-9-57","HDEB-9S(57)","1","1","1","1","0","1","1","1"
"CL0211-0234-1-05","HDAB-15P(05)","1","1","1","1","0","1","1","1"
"CL0211-0234-1-57","HDAB-15P(57)","1","1","1","1","0","1","1","1"
"CL0211-0235-4-05","HDAB-15S(05)","1","1","1","1","0","1","1","1"
"CL0211-0236-7-05","HDCB-37P(05)","0","1","1","1","0","1","1","1"
"CL0211-0237-0-05","HDCB-37S(05)","0","1","1","1","0","1","1","1"
"CL0211-0247-3-55","SDEB-9P(55)","1","1","1","1","0","1","1","1"
"CL0211-0248-6-55","SDEB-9S(55)","1","1","1","1","0","1","1","1"
"CL0211-0249-9-55","SDAB-15P(55)","1","1","1","1","0","1","1","1"
"CL0211-0250-8-55","SDAB-15S(55)","1","1","1","1","0","1","1","1"
"CL0211-0251-0-55","SDBB-25P(55)","1","1","1","1","0","1","1","1"
"CL0211-0252-3-55","SDBB-25S(55)","1","1","1","1","0","1","1","1"
"CL0211-0253-6-55","SDCB-37P(55)","0","1","1","1","0","1","1","1"
"CL0211-0254-9-55","SDCB-37S(55)","0","1","1","1","0","1","1","1"
"CL0211-0279-0-05","CDA-15P(05)","1","1","1","1","0","1","1","1"
"CL0211-0280-9-05","CDA-15S(05)","1","1","1","1","0","1","1","1"
"CL0211-0281-1-05","CDC-37P(05)","1","1","1","1","0","1","1","1"
"CL0211-0282-4-05","CDC-37S(05)","0","1","1","1","0","1","1","1"
"CL0211-0324-2-55","SDBG-25S(55)","1","1","1","1","0","1","1","1"
"CL0211-0436-6-00","RDBD-MEKURAPIN","1","1","1","1","1","1","1","1"
"CL0211-0444-4-55","FDED-9P(55)","1","1","1","1","0","1","1","1"
"CL0211-0448-5-55","FDBD-25P(55)","1","1","1","1","0","1","1","1"
"CL0211-0449-8-55","FDBD-25S(55)","1","1","1","1","0","1","1","1"
"CL0211-0464-1-55","SDEG-9S(55)","1","1","1","1","0","1","1","1"
"CL0211-0550-1-55","SDAG-15S(55)","1","1","1","1","0","1","1","1"
"CL0211-0563-3-05","HDAB-15PF(05)","1","1","1","1","0","1","1","1"
